BÁO CÁO QUY ĐỔI CONVERSION ITEM MASTER,,,,,,,,,,,,,,
Item No,Item Name,UOM1,UOM2,UOM Conversion,UOM Piece,Type Item,Tấn/ UOM Conversion,M3/ UOM Conversion,UOM Conversion / Pallet,UOM Conv / Pal Layer,UOM2/UOM1,UOM Conv/Piece,Pallet chồng đôi,Item Status
BGTA00221,Thùng carton NC Nam Ngư Siêu tiết kiệm 4.8lít (315x310x360)mm,Cai,,Cai,,PG,0.00033,0.0017577,,,1,,,Active
08CF00510,Cà phê VCF 3in1 Gold gu đậm XKTT Canada (WDT) 20bịch x 20gói x 20gr,Bic,Thu,Thu,Goi,FG,0.00927,0.0262885,48,,20,400,Y,Active
99CB00117,BTP gói thịt mì OMC Special bò hầm khoai tây xốt vang,Kgs,,Kgs,,IP,0.001,,,,1,,,Active
04HP00582,Nước giặt xả Chanté cao cấp 8 trong 1 hương hoa hồng Mona Lisa Pháp (UQR) 4túi x 3.05kg,Tui,Thu,Thu,Tui,FG,0.01304,0.034682492,30,10,4,4,,Active
BGTF00275,Thùng cà phê Wake up HC hộp XK Elom (420x230x325)mm,Cai,,Cai,,PG,,,480,,1,,,Active
BNTU00273,Túi cà phê Wake up HC bịch XK Elom (302 x 222)mm,Cai,,Cai,,PG,,,"120,000",,1,,,Active
BGCA00001,Bao giấy Viva 111 - 10kg,Cai,,Cai,,PG,,,,,1,,,Active
BGCA00002,Bao giấy Viva 112 - 10kg,Cai,,Cai,,PG,,,,,1,,,Active
BGCA00003,Bao giấy Viva 113 - 10kg,Cai,,Cai,,PG,,,,,1,,,Active
BGCA00005,Bao giấy Royal 9300 - 10kg,Cai,,Cai,,PG,,,,,1,,,Active
BGCA00006,Bao giấy Royal 9400 - 20kg,Cai,,Cai,,PG,,,,,1,,,Active
BGCA00007,Bao giấy Royal 9200 - 10kg,Cai,,Cai,,PG,,,,,1,,,Active
BGCA00008,Bao giấy Royal 9100 - 10kg,Cai,,Cai,,PG,,,,,1,,,Active
BNCA00001,Bao nylon 25 kg,Cai,,Cai,,PG,,,,,1,,,Active
BPEC00402,Bao PP tráng PE Jumbo 800-1000kg,Cai,,Cai,,PG,,,,,1,,,Active
BNCA00002,Bao nylon 30 kg,Cai,,Cai,,PG,,,,,1,,,Active
BNCA00003,Bao nylon 40 kg,Cai,,Cai,,PG,,,,,1,,,Active
BNCA00004,Bao tái sử dụng (PP xá),Cai,,Cai,,PG,,,50,,1,,,Active
BNCA00005,Bao nylon 5 kg,Cai,,Cai,,PG,,,,,1,,,Active
BNCA00008,Bao PA 25kg,Cai,,Cai,,PG,,,,,1,,,Active
BGHF00097,Hộp cà phê Wake up HC hộp XK Elom (105x77x150)mm,Cai,,Cai,,PG,,,"20,000",,1,,,Active
BTCA00001,Thùng carton Promilk 1 (467x277x330)mm,Cai,,Cai,,PG,,,,,1,,,Active
BTCA00002,Thùng carton picager (330x260x220)mm,Cai,,Cai,,PG,,,,,1,,,Active
BTCA00003,Thùng carton Gain 1 (467x277x330)mm,Cai,,Cai,,PG,,,,,1,,,Active
97KM00854,Tô sứ Hàn Quốc 7inch,Cai,,Cai,,POSM,0.000583333,0.001183111,540,,1,,,Active
97KM00852,Thố nhựa KM (165x165x100)mm,Cai,,Cai,,POSM,,,,,1,,,Active
